totSNR,epLat,epLon,evDp,epTime,lat,lon,elev,filePathE,filePathN,filePathZ
47.74,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,31.8029,-104.846397,1294.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XR.SC63..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XR.SC63..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XR.SC63..BHZ__20100304T220929Z__20100304T230929Z.mseed
46.21,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,35.5169,-111.3739,1592.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.WUAZ..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.WUAZ..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.WUAZ..BHZ__20100304T220929Z__20100304T230929Z.mseed
45.34,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,32.768299,-113.766701,118.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.113A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.113A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.113A..BHZ__20100304T220929Z__20100304T230929Z.mseed
43.98,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,29.387699,-97.773598,119.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.635A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.635A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.635A..BHZ__20100304T220929Z__20100304T230929Z.mseed
40.12,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,30.0756,-97.065201,115.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.536A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.536A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.536A..BHZ__20100304T220929Z__20100304T230929Z.mseed
39.5,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,42.633202,-107.250999,1960.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.K21A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.K21A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.K21A..BHZ__20100304T220929Z__20100304T230929Z.mseed
37.97,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,31.356701,-95.3106,137.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.338A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.338A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.338A..BHZ__20100304T220929Z__20100304T230929Z.mseed
34.9,-22.36,-68.69,118.7,2010-03-04T22:09:29.824998Z,32.673698,-100.388802,622.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.131A..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.131A..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.131A..BHZ__20100304T220929Z__20100304T230929Z.mseed
24.07,-22.36,-68.69,118.7,2010-03-04T22:09:29.819538Z,37.7148,-89.2174,120.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.SIUC..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.SIUC..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.SIUC..BHZ__20100304T220929Z__20100304T230929Z.mseed
16.43,-22.36,-68.69,118.7,2010-03-04T22:09:29.800001Z,37.2113,-80.42049,634.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.BLA..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.BLA..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.BLA..BHZ__20100304T220929Z__20100304T230929Z.mseed
14.45,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,35.141998,-81.333298,240.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.KMSC..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.KMSC..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/TA.KMSC..BHZ__20100304T220929Z__20100304T230929Z.mseed
11.48,-22.36,-68.69,118.7,2010-03-04T22:09:29.819538Z,36.7785,-90.4297,143.9,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.PBMO..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.PBMO..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.PBMO..BHZ__20100304T220929Z__20100304T230929Z.mseed
10.75,-22.36,-68.69,118.7,2010-03-04T22:09:29.822168Z,36.4137,-89.6997,98.3,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.PVMO..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.PVMO..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/NM.PVMO..BHZ__20100304T220929Z__20100304T230929Z.mseed
8.56,-22.36,-68.69,118.7,2010-03-04T22:09:29.823463Z,40.6358,-77.8876,270.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.SSPA.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.SSPA.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IU.SSPA.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
8.3,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,42.731683,-77.906535,241.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/LD.MMNY..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/LD.MMNY..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/LD.MMNY..BHZ__20100304T220929Z__20100304T230929Z.mseed
8.88,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,41.305473,-76.015182,398.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PE.PSWB..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PE.PSWB..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PE.PSWB..BHZ__20100304T220929Z__20100304T230929Z.mseed
16.8,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,42.1175,-79.9891,306.3,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.ERPA..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.ERPA..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/US.ERPA..BHZ__20100304T220929Z__20100304T230929Z.mseed
9.29,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,64.188797,-83.347832,66.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/X5.CRLN..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/X5.CRLN..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/X5.CRLN..BHZ__20100304T220929Z__20100304T230929Z.mseed
