Idx,Net,Sta,epLat,epLon,evDp,epTime,Lat(deg),Lon(deg),elev,Az(deg),EpDis(deg),snrZ,snrR,snrT,filePathE,filePathN,filePathZ
23,AZ,BZN,-22.36,-68.69,118.7,2010-03-04T22:09:29.819500Z,33.4915,-116.667,1301.0,319.22554606868084,71.99,15.06,5.06,4.31,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.BZN..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.BZN..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.BZN..BHZ__20100304T220929Z__20100304T230929Z.mseed
26,AZ,FRD,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,33.494701,-116.602203,1164.0,319.2673317708147,71.96,10.77,5.85,4.28,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.FRD..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.FRD..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AZ.FRD..BHZ__20100304T220929Z__20100304T230929Z.mseed
73,CN,FCC,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,58.7592,-94.0884,19.0,347.00625270030656,83.54,5.08,2.02,5.65,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.FCC..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.FCC..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.FCC..BHZ__20100304T220929Z__20100304T230929Z.mseed
89,CN,PNT,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,49.3224,-119.6254,531.0,329.322530042445,84.56,9.03,5.62,5.44,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.PNT..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.PNT..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.PNT..BHZ__20100304T220929Z__20100304T230929Z.mseed
95,CN,ULM,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,50.2503,-95.875,250.9,342.42604580922006,76.24,4.14,2.49,3.22,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.ULM..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.ULM..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/CN.ULM..BHZ__20100304T220929Z__20100304T230929Z.mseed
104,G,FDF,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,14.734971,-61.146311,467.0,12.02002526296297,37.64,7.68,4.42,5.01,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.FDF.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.FDF.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.FDF.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
109,G,TAM,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,22.79149,5.52838,1410.0,63.08235148720629,85.11,11.21,6.76,4.41,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.TAM.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.TAM.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.TAM.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
112,GE,SNAA,-22.36,-68.69,118.7,2010-03-04T22:09:17.945000Z,-71.6707,-2.8379,846.0,160.84853056473403,61.36,4.86,3.46,4.37,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GE.SNAA..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GE.SNAA..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GE.SNAA..BHZ__20100304T220929Z__20100304T230929Z.mseed
114,GT,BOSA,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-28.6141,25.2555,1305.8,118.01668021545304,82.88,9.69,5.26,5.53,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.BOSA.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.BOSA.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.BOSA.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
115,GT,DBIC,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,6.67016,-4.85656,125.0,73.05683260486009,68.85,19.65,17.53,6.03,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.DBIC.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.DBIC.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.DBIC.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
116,GT,LBTB,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-25.0151,25.59665,1128.0,114.78137975874135,84.50,14.60,4.27,4.10,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.LBTB.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.LBTB.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.LBTB.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
117,GT,VNDA,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-77.517275,161.852758,121.1,189.932023351285,75.96,13.64,2.97,3.57,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.VNDA.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.VNDA.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.VNDA.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
118,HW,CCRK,-22.36,-68.69,118.7,2010-03-04T22:09:29.824900Z,46.558498,-119.854797,561.0,327.1964357417553,82.76,8.04,2.77,4.84,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/HW.CCRK..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/HW.CCRK..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/HW.CCRK..BHZ__20100304T220929Z__20100304T230929Z.mseed
120,HW,PHIN,-22.36,-68.69,118.7,2010-03-04T22:09:29.824900Z,45.8951,-119.927803,227.0,326.6736329296397,82.35,9.88,3.07,3.58,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/HW.PHIN..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/HW.PHIN..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/HW.PHIN..BHZ__20100304T220929Z__20100304T230929Z.mseed
128,IM,TX31,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,29.334299,-103.667702,991.4,325.25087699321557,61.50,17.26,7.99,3.35,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IM.TX31..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IM.TX31..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IM.TX31..BHZ__20100304T220929Z__20100304T230929Z.mseed
129,IM,TX32,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,29.334,-103.667702,995.5,325.25067182820084,61.50,17.29,7.67,3.33,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IM.TX32..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IM.TX32..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/IM.TX32..BHZ__20100304T220929Z__20100304T230929Z.mseed
